text,intent
how to unsubscribe to the newsletter,general_support
i don t know how i could file a goddamn customer claim,general_support
seeing order current status,order_status
download invoices from,payment_methods
how to create a account,account_help
i want assistance writing a comment for your company,general_support
delete pro account,account_help
how do i notify of errors with payment,payment_methods
need to see ur payment methods,payment_methods
how to open a premium account,account_help
where to correct my shipping address,shipping_info
how can i update the delivery address,shipping_info
i don t have a bloody user could you help me to open one,account_help
help me notify of a payment issue,payment_methods
where can i check when my package is going to arrive,shipping_info
i need help to leave my feedback for a product,product_search
i want to check how long the shipping takes,shipping_info
i lost my profile pass want help to restore it,account_help
can i check how long the shipping takes,shipping_info
where to see your available payment modalities,payment_methods
where to notify of a trouble with online payments,payment_methods
i need help seeingwhen will my package arrive,shipping_info
check bill from,payment_methods
how can i find information about a shipping address update,shipping_info
i don t understand you i need help talking to a person,contact_support
change information on account,account_help
need help to check the available payment modaliites,payment_methods
i dont know what to do to close a platinum account,account_help
can you help me demanding a compensation of money,return_refund
i have got to check the withdrawal charges help me,general_support
i don t know what i have to do to ask for reimbursements,return_refund
i do not know what i need to do to cancel the gold account,account_help
i do not know how i can leave a damn comment for ur peoducts,general_support
where to see the early termination charges,general_support
can i make a claim,general_support
will you show me how long it takes for the parcel to arrive,shipping_info
i have to check how soon can i expect my parcel help me,shipping_info
can i close a standard account,account_help
will you show me the payment options,payment_methods
how colud i notify of registration problems,account_help
how do i get restitutions of money,return_refund
what do i need to do to delete the freemium account,account_help
i want to receive your company newsletter how do i do it,general_support
have a problem with the deletion of my account,account_help
help me to check the withdrawal fees,general_support
i have to use the premium profile i need assistance,account_help
seeing bills from,payment_methods
i have got to subscribe to the fucking newsletter,general_support
i dont know how to check ur allowed payment modalities,payment_methods
i wan assistance purchasing several of your article,order_status
help to check the early termination charge,general_support
i dont knw what to do to see the bill from,payment_methods
help me check at what time i can call customer esrvice,contact_support
i need assistance to list the accepted payment methods,payment_methods
need to see how long refunds take can i get somehelp,return_refund
how to file a customer claim against your organization,general_support
help seeing the eta of the purchase00123842,order_status
speak to an assistant,contact_support
wanna lodge a complaint,general_support
i don t know what i have to do to download my invoice 37777,payment_methods
i cannot create a user help to inform of a signup problem,account_help
i do not know what to do to see what shipping options i have,shipping_info
i need help seeing what hours customer support available is,contact_support
i don t know what i have to do to talk to customer service,contact_support
i need help to solve problems with online payment,payment_methods
shipments to,shipping_info
i have got to inform of issues with payments,payment_methods
there is a problem trying to edit the address,shipping_info
i don t know what to do to speak with cusstomer service,contact_support
i ordered some article cancel purchase,order_cancel
i dont know what i have to do to obtain a compensation,return_refund
need assistance speaking to a human agent,contact_support
what do i have to do to set up another delivery address,shipping_info
i do not know how i can list the lalowed payment options,payment_methods
help to edit order,order_status
i would like to earn several items,order_status
checking invoice 85632,payment_methods
i have to correct purchase how can i do it,order_status
help me check in what situations can i ask to be reimbursed,return_refund
i do not know how to shop a few of your item,order_status
help me ask for reimbursements of my money,return_refund
i cannot see if there are any updates on my compensation,return_refund
can uhelp me to speak with a person,contact_support
i do not know how i can speak to someone,contact_support
how could i open a account,account_help
i have got to shop some of ur product,order_status
can uhelp me file a customer reclamation,general_support
correcting information on standard account,account_help
i wsant assistance seeing how soon can i expect the item,shipping_info
i do not know whzt to do to inform of a problem with payment,payment_methods
i need to know if there is anything new on the restitution,return_refund
help me restoring my account key,account_help
information about the options for shipping,shipping_info
can i change to the standard account,account_help
i want to check what hours customer support available is,contact_support
i do not need the account i have got to delete it,account_help
editing pro account,account_help
help me to receive the bloody newsletter,general_support
i want help checking purchase current status,order_status
i am waiting for a refund of has it been porocessed,return_refund
help me creating a account,account_help
notifying of issues creating user,account_help
how can i send my feedback about ur services,general_support
changing details on standard account,account_help
chnge data on standard account,account_help
what is order status,order_status
need help removing several products from order,order_status
assistance to notify of issues with a sign up,account_help
can you help me to speak to customer support,contact_support
i cannot see if there are any news on my rebate,return_refund
can ya help me purchase some of ur item,order_status
help me create a new fucking account,account_help
i try to check the payment modalities,payment_methods
i do not know what i need to do to purchase some products,order_status
want help reporting issues with online payments,payment_methods
nede to get the bill from how to do it,payment_methods
help to see in what situations can i ask to be refunded,return_refund
i need to check the withdrawal penalties,general_support
can i talk with an assistant,contact_support
wanna know about an address modification,shipping_info
assistance to recover my acconut key,account_help
i want to know about unsubscribing to your newsletter,general_support
i don t know what to do to talk to someone,contact_support
erorr submitting the new shipping address,shipping_info
i have to check when will my package arrive i need help,shipping_info
can you help me chatting with someone,contact_support
how to shop a product,order_status
i need to remove an article from purchase,order_status
i dont know what i have to do to submit my delivery address,shipping_info
i need help to file a complaint against your company,general_support
i don t know how to see the restitution status,return_refund
where could i see what payment options you accept,payment_methods
i have got to submit a shipping address help me,shipping_info
what do i have to do to earn a few of ur product,order_status
have a question abut canceling purchase,order_cancel
how do i demand refunds of my money,return_refund
wanna ceck what hours i can contact customer assistance,contact_support
need help t add an item to order,order_status
help me check your money bck guarantee,return_refund
i want to earn some goddamn items i need assistance,order_status
i want information about my fucking newsletter subscriptino,general_support
where can i report a problem with a signup,account_help
i don t know how to restore my user account pwd,account_help
issue setting up another delivery address,shipping_info
can ya help me notify of a trouble with online payments,payment_methods
i cant retrieve the pin of my account,account_help
assistance seeing at what time i can call customer support,contact_support
chnge data on account,account_help
modify information on standard account,account_help
i entered a wrong address update it,shipping_info
i don t know what i need to do to request rebates,return_refund
i do not know how i can shop several of your article,order_status
i have got to change an article of purchase,order_status
i am trying to find the methods for shipment i need help,shipping_info
want help to see how soon can i expect the purchase,order_status
i dont know what to do to correct the delivery address,shipping_info
help me check how soon can i expect my fucking product,shipping_info
want support updating the delivery dadress,shipping_info
i bought some articles help me to cancel order,order_cancel
i do not kow how to lodge a consumer claim,general_support
i cannot inform of a isgnup issue,account_help
help to delete something from order,order_status
where do i see what methods for delivery are available,shipping_info
help me to restore my account pin,account_help
wanna cancel my subscription to the company newsletter,general_support
i want supports trying to update my shippingaddress,shipping_info
what do i need to do to cancel order,order_cancel
could you help me receiving a rebate of money,return_refund
i have got to submit my feedback,general_support
assistance to swap some products of purchase,order_status
need help seeing in which cases can i request a refund,return_refund
i want help ordering something,order_status
neef to notify of signup problems,account_help
help me unsubscribing to the newsletter,general_support
i m caling to write an opinion about ur services,general_support
i need to get my bill from how can i do it,payment_methods
i have problems with opening my account,account_help
do you have an e mail to submit a comment,general_support
i try to correct the shipping address,shipping_info
what do i need to do to cancel my account,account_help
i need help to retrieve my user pin code,account_help
help seeing the eta of order,order_status
i cannot unsubscribe to ur company newsletter,general_support
i want assistance seeing the bloody cancellation fee,general_support
wanna ask for a compensatin of money,return_refund
what do i have to do to talk to somebody,contact_support
i want to see in what cases can i request my money back,return_refund
use standard account,account_help
can you help me making a claim against your company,general_support
payment methods,payment_methods
i have to see your refund policy,return_refund
i don t know what to do to file a consumer claim,general_support
i don t know what to do to delete a gold account,account_help
where is ordered,order_status
assistance to purchase a few of your product,order_status
can you help me to see if there are any news on my refund,return_refund
assistance filing a customer reclamation,general_support
i am experiencing a problem with the signup,account_help
i have got to track purchase how can i do it,order_status
help filing a customer complant against ur business,general_support
need assistance to check the eta of purchase,order_status
where to file a customer reclamation against your company,general_support
need help to send some feedback about a product,product_search
i paid for a purchase help me obtaining my money back,order_status
could you help me notify of an error with signup,account_help
how can i check the refund current status,return_refund
help m make a claim against ur company,general_support
i have got to report problems with a signup,account_help
can i send my feedback about your products,product_search
are there early termination penalties,general_support
someone stole my goddamn account pin want help resyoring it,account_help
removing standard account,account_help
i dont know how to check ur payment modalities,payment_methods
trouble setting up my secondarydelivery address,shipping_info
can ya show me the eta of order,order_status
can you help me locating order,order_status
i dont know how to change my address,shipping_info
check at what time i can contact customer assistance,contact_support
i need help unsubscribing from your newsletter,general_support
chnge data on platinum account,account_help
can you help me get my invoice 85632,payment_methods
someone has stolen my pin code could you help me reset it,account_help
want assistance notifying of an error with payments,payment_methods
i have problems correcting my address,shipping_info
i have problems submitting the secondary shipping address,shipping_info
i need help seeing the withdrawal fee,general_support
could you tell me about the newsletter subscription,general_support
i have a problem entering another delivery address,shipping_info
i have to check the options for shipping how could i do it,shipping_info
see in which situations can i ask to be refunded,return_refund
i don t know how to speak with a human agent,contact_support
i need help seeing ur payment methods,payment_methods
i need assistance setting up a different shipping address,shipping_info
can i check purchase current status,order_status
i need to see purchase current status,order_status
i cannot change the shipping address,shipping_info
the damn shipping address has changed can i correct it,shipping_info
i try to check what payment options are allowed,payment_methods
i can t find the termination charge,general_support
help to pseak to customer support,contact_support
how could ilook for the bills from,payment_methods
i want help to report registration errors,account_help
need assistance to lodge a customer claim against ur company,general_support
i do not know what i have to do to locate bill 00108,payment_methods
i have a issue entering my secondary delivery address,shipping_info
where to recover the pin of my user,account_help
i have an error editing my delivery address,shipping_info
i get error messages when i try to set a shipping address up,shipping_info
i don t know how to see the allowed payment methods,payment_methods
help me add some articles to purchase,order_status
would it be possible to oen a gold account,account_help
what do i need to do to check the withdrawal fees,general_support
modify freemium account,account_help
i don t know how to check the bloody shipping options,shipping_info
i have got to see my compensation current status,return_refund
i have to see how long reimbursements take how can i do it,return_refund
leave review about a service,general_support
where can i check how soon can i expect the package,shipping_info
i cant make a payment i wanna repotr a problem,payment_methods
edit data on premium account,account_help
