text,intent
hello,greeting
hi,greeting
hey,greeting
hello there,greeting
hi there,greeting
hey there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
salam,greeting
assalam o alaikum,greeting
salam shop,greeting
how are you,greeting
how are you doing,greeting
are you fine,greeting
hope you are fine,greeting
hello how are you,greeting
hi how are you,greeting
are you there,greeting
anyone there,greeting
anyone available,greeting
can you help me,greeting
can you assist me,greeting
please help me,greeting
i need help,greeting
i want help,greeting
i have a question,greeting
i need your assistance,greeting
start chat,greeting
hello chatbot,greeting
hi chatbot,greeting
shop assistant,greeting
customer assistant,greeting

show me products,product_search
show products,product_search
can you show products,product_search
show all products,product_search
display products,product_search
find product,product_search
search product,product_search
search by product name,product_search
do you have this product,product_search
do you have mobile,product_search
do you have phone,product_search
do you have laptop,product_search
do you have shoes,product_search
do you have watch,product_search
do you have perfume,product_search
do you have clothes,product_search
do you have electronics,product_search
do you have accessories,product_search
find mobile,product_search
find phone,product_search
find laptop,product_search
find shoes,product_search
find watch,product_search
find gaming mouse,product_search
find keyboard,product_search
find headphones,product_search
find charger,product_search
find dress,product_search
find bag,product_search
search laptop,product_search
search mobile,product_search
search samsung mobile,product_search
search iphone,product_search
search gaming products,product_search
show samsung mobile,product_search
show iphone products,product_search
show laptops,product_search
show shoes,product_search
show watches,product_search
show perfumes,product_search
show dresses,product_search
show bags,product_search
show electronics,product_search
show accessories,product_search
i want to buy phone,product_search
i want to buy laptop,product_search
i want to buy shoes,product_search
i want to buy watch,product_search
i am looking for mobile,product_search
i am looking for laptop,product_search
i am looking for shoes,product_search
is this product available,product_search
product available or not,product_search
check product availability,product_search
is it in stock,product_search
show available products,product_search
show product details,product_search
tell me about this product,product_search
give me product information,product_search
what is the price of this product,product_search
show product price,product_search
show product category,product_search
find product by category,product_search

show cheap products,budget_products
cheap products,budget_products
budget products,budget_products
low price products,budget_products
affordable products,budget_products
lowest price products,budget_products
show low price items,budget_products
show affordable items,budget_products
show cheapest products,budget_products
find cheap products,budget_products
find affordable products,budget_products
find low price products,budget_products
budget friendly products,budget_products
products in low price range,budget_products
show discount products,budget_products
show sale products,budget_products
show offer products,budget_products
any offer products,budget_products
any discount available,budget_products
products under 500,budget_products
products under 1000,budget_products
products under 2000,budget_products
products under 5000,budget_products
products below 500,budget_products
products below 1000,budget_products
products below 2000,budget_products
products below 5000,budget_products
show products under 500,budget_products
show products under 1000,budget_products
show products under 2000,budget_products
show products under 5000,budget_products
show products below 500,budget_products
show products below 1000,budget_products
show products below 2000,budget_products
show products below 5000,budget_products
best product under 1000,budget_products
best product under 5000,budget_products
cheap mobile,budget_products
cheap phone,budget_products
cheap laptop,budget_products
cheap shoes,budget_products
cheap watch,budget_products
cheap electronics,budget_products
cheap accessories,budget_products
low budget mobile,budget_products
low budget laptop,budget_products
low budget phone,budget_products
show affordable mobile,budget_products
show affordable laptop,budget_products
show affordable shoes,budget_products
i need cheap product,budget_products
i want low price item,budget_products
i have small budget,budget_products
find products under my budget,budget_products
show me products in my budget,budget_products
what is the cheapest product,budget_products
which product is lowest price,budget_products

show latest products,latest_products
show new products,latest_products
show new arrivals,latest_products
show latest items,latest_products
show recent products,latest_products
show recently added products,latest_products
display latest products,latest_products
display new products,latest_products
latest products,latest_products
latest items,latest_products
latest collection,latest_products
latest stock,latest_products
latest mobile products,latest_products
latest laptop products,latest_products
latest fashion products,latest_products
latest electronics,latest_products
new arrivals,latest_products
new products,latest_products
new items,latest_products
new collection,latest_products
new stock available,latest_products
new products in store,latest_products
new arrival products,latest_products
what is new,latest_products
what is new in shop,latest_products
what products are new,latest_products
what are the newest items,latest_products
show me new items,latest_products
show me latest products,latest_products
show newly added items,latest_products
show fresh products,latest_products
show recent items,latest_products
latest items please,latest_products

add to cart,cart_checkout
add product to cart,cart_checkout
add this product to cart,cart_checkout
add this item to cart,cart_checkout
put this item in cart,cart_checkout
put product in cart,cart_checkout
how to add to cart,cart_checkout
how can i add product to cart,cart_checkout
cannot add product to cart,cart_checkout
add to cart button not working,cart_checkout
cart button not working,cart_checkout
my cart is empty,cart_checkout
